# Generated: 2026-06-19 13:10:22
# Total rows: 187
# Data source: ALLY_LOTTE_QR_PRINTER_v8.3.html embedded PALLET_DATA
# Issues found:
# - Row 177 (Board 177): SKU 'DK9075' missing from ITEM_MASTER - requires user verification
# Note: destLocation may be "TBD" pending binding table from user

sourceId,sku,品名,箱數,件數,國際條碼,上架儲位,來源儲位,效期,趟次,棧板號,入庫單號
LOTTE-20260622-622_2-127,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),60,480,08935341300637,BI012,T06B0522-0,2027/03/30,Regular-1,76,20260622-076
LOTTE-20260622-622_2-128,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),60,480,08935341300637,BI012,T06B0525-0,2027/03/30,Regular-1,77,20260622-077
LOTTE-20260622-622_2-129,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),60,480,08935341300637,BI012,T06B0545-0,2027/03/30,Regular-1,78,20260622-078
LOTTE-20260622-622_2-130,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),50,400,08935341301238,BI012,T06B0564-0,2027/04/01,Regular-1,79,20260622-079
LOTTE-20260622-622_2-131,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,T06B0565-0,2027/04/01,Regular-1,80,20260622-080
LOTTE-20260622-622_2-132,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,T06B0585-0,2027/04/01,Regular-1,81,20260622-081
LOTTE-20260622-622_2-133,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,T06B0602-0,2027/04/01,Regular-1,82,20260622-082
LOTTE-20260622-622_2-134,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,T06B0603-0,2027/04/01,Regular-1,83,20260622-083
LOTTE-20260622-622_2-135,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,T06B0605-0,2027/04/01,Regular-1,84,20260622-084
LOTTE-20260622-622_2-148,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),60,960,08935341301337,BI012,T07B0345-0,2027/04/21,Regular-1,85,20260622-085
LOTTE-20260622-622_2-151,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),50,400,08935341301238,BI012,T09A0374-0,2027/03/20,Regular-1,86,20260622-086
LOTTE-20260622-622_2-152,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),20,160,08935341301238,BI012,T09A0374-0,2027/03/20,Regular-1,87,20260622-087
LOTTE-20260622-622_2-153,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),80,640,08935341301238,BI012,T10B0246-0,2027/03/20,Regular-1,88,20260622-088
LOTTE-20260622-622_2-154,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),70,560,08935341301238,BI012,T10B0306-0,2027/03/20,Regular-1,89,20260622-089
LOTTE-20260622-622_1-057,BT0068,樂天小熊餅家庭號－濃黑巧克力風味195g,48,480,58852008304911,BI012,A19A1251-0,2027/07/20,Regular-1,90,20260622-090
LOTTE-20260622-622_1-062,BT0068,樂天小熊餅家庭號－濃黑巧克力風味195g,48,480,58852008304911,BI012,A19A1292-0,2027/07/20,Regular-1,91,20260622-091
LOTTE-20260622-622_1-063,BT0068,樂天小熊餅家庭號－濃黑巧克力風味195g,48,480,58852008304911,BI012,A19A1312-0,2027/07/20,Regular-1,92,20260622-092
